transaction_dt,unique_trx_id,item_code,item_sr_no,item_mfg_dt,sale_price,disc_price,store_no,store_name,customer_id,customer_name,city,state,zip
2024-04-09 10:15:18,TRX109,Microwave,MIC75309,2022-01-01 00:00:00,350.0,0.0,3.0,Gadgets Galore,CUST109,Christopher Lee,Boston,MA,411002
2024-04-10 13:20:07,TRX110,Tablet,TBL97531,2022-01-01 00:00:00,550.0,0.0,1.0,Electronics Emporium,CUST110,Amanda White,Philadelphia,PA,19101.0
2023-01-01 08:12:45,TRX021,TV,SER12345,2022-12-01,1000.0,800.0,1,Electronics Emporium,CUST021,John Doe,New York,NY,10001
2023-01-02 10:30:22,TRX022,Mobile,MOB54321,2022-11-15,800.0,750.0,2,Online Electronics Store,CUST022,Jane Smith,Los Angeles,CA,90001
2023-01-03 13:45:17,TRX023,Fridge,FRD67890,2022-10-20,1200.0,1000.0,3,Gadgets Galore,CUST023,Michael Johnson,Chicago,IL,60601
2023-01-04 11:20:55,TRX024,Microwave,MIC98765,2022-09-05,400.0,350.0,1,Electronics Emporium,CUST024,Emily Brown,Houston,TX,77001
2023-01-05 09:55:33,TRX025,Headphones,HDP24680,2022-08-15,100.0,0.0,2,Online Electronics Store,CUST025,Robert Wilson,Miami,FL,33101
2023-01-06 14:10:11,TRX026,Tablet,TBL13579,2022-07-25,600.0,550.0,3,Gadgets Galore,CUST026,Susan Martinez,San Francisco,CA,94101
2023-01-07 12:35:44,TRX027,TV,SER54321,2022-06-10,900.0,850.0,1,Electronics Emporium,CUST027,David Taylor,Dallas,TX,75201
2023-01-08 09:40:29,TRX028,Mobile,MOB98765,2022-01-01 00:00:00,700.0,650.0,2,Online Electronics Store,CUST028,Samantha Anderson,Seattle,WA,98101
2023-01-09 10:15:18,TRX029,Microwave,MIC75309,2022-04-01,350.0,300.0,3,Gadgets Galore,CUST029,Christopher Lee,Boston,MA,2101
2023-01-10 13:20:07,TRX030,Tablet,TBL97531,2022-03-20,550.0,500.0,1,Electronics Emporium,CUST030,Amanda White,Philadelphia,PA,19101
2024-03-15 08:12:45,TRX011,Fridge,FRD36985,2023-02-15,1100.0,0.0,2,Online Electronics Store,CUST011,Daniel Garcia,Phoenix,AZ,85001.0
2024-03-16 10:30:22,TRX012,009,MOB98765,2023-05-05,0.0,0.0,3,Gadgets Galore,CUST012,Samantha Anderson,Seattle,WA,98101.0
2024-03-17 13:45:17,TRX013,Fridge,FRD36985,2023-02-15,1100.0,0.0,1,Electronics Emporium,CUST013,Daniel Garcia,Phoenix,AZ,85001.0
2024-03-18 11:20:55,TRX014,Microwave,2,2023-09-05,400.0,0.0,2,Online Electronics Store,CUST014,Emily Brown,Houston,TX,77001.0
2024-03-19 09:55:33,TRX015,Headphones,HDP24680,2023-08-15,100.0,0.0,3,Gadgets Galore,CUST015,Robert Wilson,Miami,FL,33101.0
2024-03-20 14:10:11,TRX016,Tablet,TBL13579,2023-07-25,600.0,0.0,1,Electronics Emporium,CUST016,Susan Martinez,San Francisco,CA,94101.0
2024-03-21 12:35:44,TRX017,TV,SER54321,2022-01-01 00:00:00,900.0,0.0,2,Online Electronics Store,CUST017,David Taylor,Dallas,TX,75201.0
2024-03-22 09:40:29,TRX018,Mobile,2,2023-11-15,800.0,0.0,3,Gadgets Galore,CUST018,Jane Smith,Los Angeles,CA,411002
2024-03-23 10:15:18,TRX019,Microwave,MIC75309,2023-04-01,350.0,0.0,1,Electronics Emporium,CUST019,Christopher Lee,Boston,MA,2101.0
2024-03-24 13:20:07,TRX020,Tablet,TBL97531,2022-01-01 00:00:00,550.0,0.0,2,Online Electronics Store,CUST020,Amanda White,Philadelphia,PA,19101.0
2020-12-01 08:12:45,TRX401,TV,SER12345,2020-11-01,1000.0,800.0,1,Electronics Emporium,CUST401,John Doe,New York,NY,10001
2020-12-02 10:30:22,TRX402,Mobile,MOB54321,2022-01-01 00:00:00,800.0,750.0,2,Online Electronics Store,CUST402,Jane Smith,Los Angeles,CA,90001
2020-12-03 13:45:17,TRX403,Fridge,FRD67890,2020-09-20,1200.0,0.0,3,Gadgets Galore,CUST403,Michael Johnson,Chicago,IL,60601
2020-12-04 11:20:55,TRX404,Microwave,2,2020-08-05,400.0,350.0,1,Electronics Emporium,CUST404,Emily Brown,Houston,TX,77001
2020-12-05 09:55:33,TRX405,Headphones,HDP24680,2020-07-15,0.0,80.0,2,Online Electronics Store,CUST405,Robert Wilson,Miami,FL,33101
2020-12-06 14:10:11,TRX406,Tablet,TBL13579,2020-06-25,600.0,550.0,3,Gadgets Galore,CUST406,Susan Martinez,San Francisco,CA,94101
2020-12-07 12:35:44,TRX407,TV,SER54321,2020-05-10,900.0,850.0,1,Electronics Emporium,CUST407,David Taylor,Dallas,TX,75201
2020-12-08 09:40:29,TRX408,Mobile,MOB98765,2020-04-05,700.0,650.0,2,Online Electronics Store,CUST408,Samantha Anderson,Seattle,WA,98101
2020-12-09 10:15:18,TRX409,Microwave,MIC75309,2022-01-01 00:00:00,350.0,300.0,3,Gadgets Galore,CUST409,Christopher Lee,Boston,MA,2101
2020-12-10 13:20:07,TRX410,Tablet,TBL97531,2020-03-20,550.0,500.0,1,Electronics Emporium,CUST410,Amanda White,Philadelphia,PA,19101
2024-03-01 08:12:45,TRX001,TV,SER12345,2023-12-01,1000.0,0.0,1,Electronics Emporium,CUST001,John Doe,New York,NY,10001.0
2024-03-02 10:30:22,TRX002,Mobile,MOB54321,2023-11-15,800.0,0.0,2,Online Electronics Store,CUST002,Jane Smith,Los Angeles,CA,90001.0
2024-03-03 13:45:17,TRX003,Fridge,FRD67890,2022-01-01 00:00:00,1200.0,0.0,3,Gadgets Galore,CUST003,Michael Johnson,Chicago,IL,60601.0
2024-03-04 11:20:55,TRX004,Microwave,2,2023-09-05,400.0,0.0,1,Electronics Emporium,CUST004,Emily Brown,Houston,TX,77001.0
2024-03-05 09:55:33,TRX005,009,HDP24680,2023-08-15,100.0,0.0,2,Online Electronics Store,CUST005,Robert Wilson,Miami,FL,33101.0
2024-03-06 14:10:11,TRX006,Tablet,TBL13579,2023-07-25,0.0,0.0,3,Gadgets Galore,CUST006,Susan Martinez,San Francisco,CA,94101.0
2024-03-07 12:35:44,TRX007,TV,SER54321,2023-06-10,900.0,0.0,1,Electronics Emporium,CUST007,David Taylor,Dallas,TX,411002
2024-03-08 09:40:29,TRX008,Mobile,MOB98765,2023-05-05,700.0,0.0,2,Online Electronics Store,CUST008,Samantha Anderson,pune,WA,98101.0
2024-03-09 10:15:18,TRX009,009,MIC75309,2023-04-01,350.0,0.0,3,Gadgets Galore,CUST009,Christopher Lee,Boston,MA,2101.0
2024-03-10 13:20:07,TRX010,Tablet,TBL97531,2023-03-20,550.0,0.0,1,Electronics Emporium,CUST010,Amanda White,Philadelphia,PA,19101.0
2024-04-11 08:12:45,TRX201,TV,SER12345,2022-01-01 00:00:00,1000.0,0.0,1.0,Electronics Emporium,CUST201,John Doe,New York,NY,10001.0
2024-04-12 10:30:22,TRX202,Mobile,2,2022-01-01 00:00:00,800.0,0.0,2.0,Online Electronics Store,CUST202,Jane Smith,Los Angeles,CA,90001.0
2024-04-13 13:45:17,TRX203,Fridge,FRD67890,2022-01-01 00:00:00,1200.0,0.0,3.0,Gadgets Galore,CUST203,Michael Johnson,Chicago,IL,60601.0
2024-04-14 11:20:55,TRX204,Microwave,MIC98765,2022-01-01 00:00:00,0.0,0.0,1.0,Electronics Emporium,CUST204,Emily Brown,Houston,TX,77001.0
2024-04-15 09:55:33,TRX205,Headphones,HDP24680,2022-01-01 00:00:00,100.0,0.0,001,Online Electronics Store,CUST205,Robert Wilson,Miami,FL,33101.0
2024-04-16 14:10:11,TRX206,Tablet,TBL13579,2022-01-01 00:00:00,600.0,0.0,3.0,Gadgets Galore,CUST206,Susan Martinez,San Francisco,CA,94101.0
2024-04-17 12:35:44,TRX207,TV,SER54321,2022-01-01 00:00:00,900.0,0.0,1.0,estore,CUST207,David Taylor,Dallas,TX,75201.0
2024-04-18 09:40:29,TRX208,Mobile,MOB98765,2022-01-01 00:00:00,700.0,0.0,2.0,Online Electronics Store,1,Samantha Anderson,Seattle,WA,98101.0
2024-04-19 10:15:18,TRX209,Microwave,MIC75309,2022-01-01 00:00:00,350.0,0.0,3.0,Gadgets Galore,CUST209,Christopher Lee,Boston,MA,411002
2024-04-20 13:20:07,TRX210,Tablet,TBL97531,2022-01-01 00:00:00,550.0,0.0,1.0,Electronics Emporium,CUST210,Amanda White,Philadelphia,PA,19101.0
